Unidade,Ativos,Tot_Ativos (%),Inativos,Tot_Inativos (%),Total_parc,Total_parc(%),Outras_Despesas,Tot_Outras_Despesas(%),Total,Total(%)
EACH                                              ,75297258.28,2,1742557.76,0.2,77039816.04,1.6,2371350.71,0.4,79411166.75,1.5
ECA                                               ,74889196.72,2,34931940.69,3.6,109821137.41,2.4,2519781.96,0.4,112340919.37,2.1
EE                                                ,35678968.41,1,19358374.6,2,55037343.01,1.2,445304.55,0.1,55482647.56,1
EEFE                                              ,26193605.79,0.7,6601095.8,0.7,32794701.59,0.7,532427.62,0.1,33327129.21,0.6
EEFERP                                            ,9480539.85,0.3,,,9480539.85,0.2,415945.17,0.1,9896485.02,0.2
EEL                                               ,26652161.64,0.7,,,26652161.64,0.6,2122529.96,0.3,28774691.6,0.5
EERP                                              ,40353001.83,1.1,15042884.95,1.6,55395886.78,1.2,878562.34,0.1,56274449.12,1.1
EESC                                              ,105022126.17,2.8,37922203.97,3.9,142944330.14,3.1,3592505.6,0.6,146536835.74,2.8
EP                                                ,171973851.56,4.6,45373043.52,4.7,217346895.08,4.7,7075833.53,1.1,224422728.61,4.2
ESALQ                                             ,135119703.75,3.6,55580944.1,5.7,190700647.85,4.1,5470312.3,0.9,196170960.15,3.7
FAU                                               ,46111806.49,1.2,20936675.16,2.2,67048481.65,1.4,1219866.46,0.2,68268348.11,1.3
FCF                                               ,46349240.08,1.2,20422941.34,2.1,66772181.42,1.4,1258383.4,0.2,68030564.82,1.3
FCFRP                                             ,55395172.66,1.5,8777163.22,0.9,64172335.88,1.4,1776524.28,0.3,65948860.16,1.2
FD                                                ,40345204.12,1.1,15583481.99,1.6,55928686.11,1.2,1486053.32,0.2,57414739.43,1.1
FDRP                                              ,11423578.69,0.3,91038.85,0,11514617.54,0.2,417688.2,0.1,11932305.74,0.2
FE                                                ,53087488.12,1.4,31905936.33,3.3,84993424.45,1.8,1264521.82,0.2,86257946.27,1.6
FEA                                               ,55000860.9,1.5,35239181.37,3.6,90240042.27,1.9,1440908.95,0.2,91680951.22,1.7
FEARP                                             ,29893544.99,0.8,313164.87,0,30206709.86,0.6,844472.68,0.1,31051182.54,0.6
FFCLRP                                            ,80246556.78,2.2,19078068.13,2,99324624.91,2.1,1965604.51,0.3,101290229.42,1.9
FFLCH                                             ,151088326.32,4.1,98356356.99,10.1,249444683.31,5.3,3622591.24,0.6,253067274.55,4.8
FM                                                ,142964720.78,3.9,45418021.91,4.7,188382742.69,4,4120052.86,0.6,192502795.55,3.6
FMRP                                              ,163938041.22,4.4,50212601.97,5.2,214150643.19,4.6,3191415.2,0.5,217342058.39,4.1
FMVZ                                              ,64912760.85,1.8,19898368,2,84811128.85,1.8,2669871.04,0.4,87480999.89,1.6
FO                                                ,55858170.51,1.5,19379019.96,2,75237190.47,1.6,1381141.18,0.2,76618331.65,1.4
FOB                                               ,58223598.3,1.6,21528548.64,2.2,79752146.94,1.7,1426736.61,0.2,81178883.55,1.5
FORP                                              ,49316643.73,1.3,12011312.2,1.2,61327955.93,1.3,610890.15,0.1,61938846.08,1.2
FSP                                               ,64865439.01,1.8,28956229.57,3,93821668.58,2,1043895.63,0.2,94865564.21,1.8
FZEA                                              ,42622056.43,1.2,2237215.48,0.2,44859271.91,1,1992440.34,0.3,46851712.25,0.9
IAG                                               ,38248699.01,1,7949950.49,0.8,46198649.5,1,917909.82,0.2,47116559.32,0.9
IAU                                               ,13616768.68,0.4,788995.81,0.1,14405764.49,0.3,463655.39,0.1,14869419.88,0.3
IB                                                ,55140611.52,1.5,22019144.07,2.3,77159755.59,1.6,1356627.97,0.2,78516383.56,1.5
ICB                                               ,84616432.34,2.3,37865076.22,3.9,122481508.56,2.6,2338958.9,0.4,124820467.46,2.4
ICMC                                              ,48402812.36,1.3,11380953.31,1.2,59783765.67,1.3,2294570.82,0.4,62078336.49,1.2
IF                                                ,90317795.17,2.4,31005864.83,3.2,121323660,2.6,3197636.64,0.5,124521296.64,2.4
IFSC                                              ,49104829.83,1.3,7706753.52,0.8,56811583.35,1.2,2079855.42,0.3,58891438.77,1.1
IGc                                               ,36782146.01,1,14472760.44,1.5,51254906.45,1.1,1376073.32,0.2,52630979.77,1
IME                                               ,66462634.62,1.8,22494720.73,2.3,88957355.35,1.9,1273934.68,0.2,90231290.03,1.7
IO                                                ,32236266.87,0.9,10688398.6,1.1,42924665.47,0.9,2260764.87,0.4,45185430.34,0.8
IP                                                ,42813937.7,1.2,15775523.29,1.6,58589460.99,1.3,811181.92,0.1,59400642.91,1.1
IQ                                                ,62642667.09,1.7,19940512.25,2,82583179.34,1.8,1904760.3,0.3,84487939.64,1.6
