Tabela 7.02 - ,"Execução orçamentária por Unidade, em 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pessoal,,,,,,,,,,,,,,,,,,,,,,,
,,,Ativos,,,,,Inativos,,,,,Total,,,,,Outras Despesas,,,,,Total,,,
Unidade,,,,R$,,%,,,R$,,%,,,R$,,%,,,R$,,%,,,R$,,%
A - Ensino e Pesquisa                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,
EACH                                              ,,"75.297.258,28",,,"2,0",,"1.742.557,76",,,"0,2",,"77.039.816,04",,,"1,6",,"2.371.350,71",,,"0,4",,"79.411.166,75",,,"1,5",
ECA                                               ,,"74.889.196,72",,,"2,0",,"34.931.940,69",,,"3,6",,"109.821.137,41",,,"2,4",,"2.519.781,96",,,"0,4",,"112.340.919,37",,,"2,1",
EE                                                ,,"35.678.968,41",,,"1,0",,"19.358.374,60",,,"2,0",,"55.037.343,01",,,"1,2",,"445.304,55",,,"0,1",,"55.482.647,56",,,"1,0",
EEFE                                              ,,"26.193.605,79",,,"0,7",,"6.601.095,80",,,"0,7",,"32.794.701,59",,,"0,7",,"532.427,62",,,"0,1",,"33.327.129,21",,,"0,6",
EEFERP                                            ,,"9.480.539,85",,,"0,3",,-,,,-,,"9.480.539,85",,,"0,2",,"415.945,17",,,"0,1",,"9.896.485,02",,,"0,2",
EEL                                               ,,"26.652.161,64",,,"0,7",,-,,,-,,"26.652.161,64",,,"0,6",,"2.122.529,96",,,"0,3",,"28.774.691,60",,,"0,5",
EERP                                              ,,"40.353.001,83",,,"1,1",,"15.042.884,95",,,"1,6",,"55.395.886,78",,,"1,2",,"878.562,34",,,"0,1",,"56.274.449,12",,,"1,1",
EESC                                              ,,"105.022.126,17",,,"2,8",,"37.922.203,97",,,"3,9",,"142.944.330,14",,,"3,1",,"3.592.505,60",,,"0,6",,"146.536.835,74",,,"2,8",
EP                                                ,,"171.973.851,56",,,"4,6",,"45.373.043,52",,,"4,7",,"217.346.895,08",,,"4,7",,"7.075.833,53",,,"1,1",,"224.422.728,61",,,"4,2",
ESALQ                                             ,,"135.119.703,75",,,"3,6",,"55.580.944,10",,,"5,7",,"190.700.647,85",,,"4,1",,"5.470.312,30",,,"0,9",,"196.170.960,15",,,"3,7",
FAU                                               ,,"46.111.806,49",,,"1,2",,"20.936.675,16",,,"2,2",,"67.048.481,65",,,"1,4",,"1.219.866,46",,,"0,2",,"68.268.348,11",,,"1,3",
FCF                                               ,,"46.349.240,08",,,"1,2",,"20.422.941,34",,,"2,1",,"66.772.181,42",,,"1,4",,"1.258.383,40",,,"0,2",,"68.030.564,82",,,"1,3",
FCFRP                                             ,,"55.395.172,66",,,"1,5",,"8.777.163,22",,,"0,9",,"64.172.335,88",,,"1,4",,"1.776.524,28",,,"0,3",,"65.948.860,16",,,"1,2",
FD                                                ,,"40.345.204,12",,,"1,1",,"15.583.481,99",,,"1,6",,"55.928.686,11",,,"1,2",,"1.486.053,32",,,"0,2",,"57.414.739,43",,,"1,1",
FDRP                                              ,,"11.423.578,69",,,"0,3",,"91.038,85",,,"0,0",,"11.514.617,54",,,"0,2",,"417.688,20",,,"0,1",,"11.932.305,74",,,"0,2",
FE                                                ,,"53.087.488,12",,,"1,4",,"31.905.936,33",,,"3,3",,"84.993.424,45",,,"1,8",,"1.264.521,82",,,"0,2",,"86.257.946,27",,,"1,6",
FEA                                               ,,"55.000.860,90",,,"1,5",,"35.239.181,37",,,"3,6",,"90.240.042,27",,,"1,9",,"1.440.908,95",,,"0,2",,"91.680.951,22",,,"1,7",
FEARP                                             ,,"29.893.544,99",,,"0,8",,"313.164,87",,,"0,0",,"30.206.709,86",,,"0,6",,"844.472,68",,,"0,1",,"31.051.182,54",,,"0,6",
FFCLRP                                            ,,"80.246.556,78",,,"2,2",,"19.078.068,13",,,"2,0",,"99.324.624,91",,,"2,1",,"1.965.604,51",,,"0,3",,"101.290.229,42",,,"1,9",
FFLCH                                             ,,"151.088.326,32",,,"4,1",,"98.356.356,99",,,"10,1",,"249.444.683,31",,,"5,3",,"3.622.591,24",,,"0,6",,"253.067.274,55",,,"4,8",
FM                                                ,,"142.964.720,78",,,"3,9",,"45.418.021,91",,,"4,7",,"188.382.742,69",,,"4,0",,"4.120.052,86",,,"0,6",,"192.502.795,55",,,"3,6",
FMRP                                              ,,"163.938.041,22",,,"4,4",,"50.212.601,97",,,"5,2",,"214.150.643,19",,,"4,6",,"3.191.415,20",,,"0,5",,"217.342.058,39",,,"4,1",
FMVZ                                              ,,"64.912.760,85",,,"1,8",,"19.898.368,00",,,"2,0",,"84.811.128,85",,,"1,8",,"2.669.871,04",,,"0,4",,"87.480.999,89",,,"1,6",
FO                                                ,,"55.858.170,51",,,"1,5",,"19.379.019,96",,,"2,0",,"75.237.190,47",,,"1,6",,"1.381.141,18",,,"0,2",,"76.618.331,65",,,"1,4",
