Mês,2011,2012,2013,2014,2015,2016
Janeiro,322773342.9,313737965.78,307946825.73,310029821.43,329525773.42,312790799.11
Fevereiro,313242400.46,311702974.07,306092954.53,325717574.02,345361639.47,333456953.4
Março,262928060.53,296651639.32,341736878.8,356369780.09,363110535.89,341883189.78
Abril,294826970.35,324962167.88,338702899.72,353519368.01,370005432.48,366309195.23
Maio,309162138.28,332775742.36,360544555.72,323821145.66,354970604.14,323433340.45
Junho,306745083.07,320428320.46,337818602.96,344370137.08,322982529.86,341074102.62
Julho,302188000.19,326273960.86,375221056.85,345133666.1,364691777.31,358112117.03
Agosto,306437574.71,326856522.08,357076298.47,356224369.45,375913019,326637599.37
Setembro,318238064.81,341603275.45,345263876.83,342220966.28,325161249,372366459.56
Outubro,331908818.4,348228856.1,348226656.25,350082725.41,409613896.29,333061693.1
Novembro,335816658.63,351092828.1,327945928.59,348031076.49,354934215.78,374132611.94
Dezembro,340365754.03,392660490.36,376926956.94,397147391.81,284210586.44,353759350.75
TOTAL,3744632866.36,3986974742.82,4123503491.39,4152668021.83,4200481259.08,4137017412.34
